Supplier family,Focal family,Count,Count/strains in supp family
Cyclobacteriaceae,Alteromonadaceae,11.0,11.0
Flavobacteriaceae,Alteromonadaceae,30.0,2.727272727272727
Rhodobacteraceae,Alteromonadaceae,20.0,1.4285714285714286
Vibrionaceae,Alteromonadaceae,223.0,31.857142857142858
Psychromonadaceae,Alteromonadaceae,34.0,17.0
Psychrobiaceae,Alteromonadaceae,0.0,0.0
Alteromonadaceae,Alteromonadaceae,120.0,8.571428571428571
Oleiphilaceae,Alteromonadaceae,21.0,7.0
Halomonadaceae,Alteromonadaceae,0.0,0.0
Nitrincolaceae,Alteromonadaceae,29.0,14.5
Saccharospirillaceae,Alteromonadaceae,0.0,0.0
Cellvibrionaceae,Alteromonadaceae,7.0,3.5
Arcobacteraceae,Oleiphilaceae,4.0,4.0
Cyclobacteriaceae,Oleiphilaceae,0.0,0.0
Flavobacteriaceae,Oleiphilaceae,31.0,2.8181818181818183
Rhodobacteraceae,Oleiphilaceae,7.0,0.5
Vibrionaceae,Oleiphilaceae,91.0,13.0
Psychromonadaceae,Oleiphilaceae,10.0,5.0
Psychrobiaceae,Oleiphilaceae,0.0,0.0
Alteromonadaceae,Oleiphilaceae,75.0,5.357142857142857
Oleiphilaceae,Oleiphilaceae,3.0,1.0
Halomonadaceae,Oleiphilaceae,0.0,0.0
Nitrincolaceae,Oleiphilaceae,4.0,2.0
Saccharospirillaceae,Oleiphilaceae,0.0,0.0
Cellvibrionaceae,Oleiphilaceae,0.0,0.0
Arcobacteraceae,Halomonadaceae,0.0,0.0
Cyclobacteriaceae,Halomonadaceae,0.0,0.0
Flavobacteriaceae,Halomonadaceae,0.0,0.0
Rhodobacteraceae,Halomonadaceae,0.0,0.0
Vibrionaceae,Halomonadaceae,0.0,0.0
Psychromonadaceae,Halomonadaceae,0.0,0.0
Psychrobiaceae,Halomonadaceae,0.0,0.0
Alteromonadaceae,Halomonadaceae,0.0,0.0
Oleiphilaceae,Halomonadaceae,0.0,0.0
Halomonadaceae,Halomonadaceae,0.0,0.0
Nitrincolaceae,Halomonadaceae,0.0,0.0
Saccharospirillaceae,Halomonadaceae,0.0,0.0
Cellvibrionaceae,Halomonadaceae,0.0,0.0
Arcobacteraceae,Nitrincolaceae,0.0,0.0
Cyclobacteriaceae,Nitrincolaceae,1.0,1.0
Flavobacteriaceae,Nitrincolaceae,0.0,0.0
Rhodobacteraceae,Nitrincolaceae,1.0,0.07142857142857142
Vibrionaceae,Nitrincolaceae,19.0,2.7142857142857144
Psychromonadaceae,Nitrincolaceae,3.0,1.5
Psychrobiaceae,Nitrincolaceae,0.0,0.0
Alteromonadaceae,Nitrincolaceae,7.0,0.5
Oleiphilaceae,Nitrincolaceae,0.0,0.0
Halomonadaceae,Nitrincolaceae,0.0,0.0
Nitrincolaceae,Nitrincolaceae,0.0,0.0
Saccharospirillaceae,Nitrincolaceae,0.0,0.0
Cellvibrionaceae,Nitrincolaceae,0.0,0.0
Arcobacteraceae,Saccharospirillaceae,0.0,0.0
Cyclobacteriaceae,Saccharospirillaceae,0.0,0.0
Flavobacteriaceae,Saccharospirillaceae,0.0,0.0
Rhodobacteraceae,Saccharospirillaceae,0.0,0.0
Vibrionaceae,Saccharospirillaceae,0.0,0.0
Psychromonadaceae,Saccharospirillaceae,0.0,0.0
Psychrobiaceae,Saccharospirillaceae,0.0,0.0
Alteromonadaceae,Saccharospirillaceae,0.0,0.0
Oleiphilaceae,Saccharospirillaceae,0.0,0.0
Halomonadaceae,Saccharospirillaceae,0.0,0.0
Nitrincolaceae,Saccharospirillaceae,0.0,0.0
Saccharospirillaceae,Saccharospirillaceae,0.0,0.0
Cellvibrionaceae,Saccharospirillaceae,0.0,0.0
Arcobacteraceae,Cellvibrionaceae,0.0,0.0
Cyclobacteriaceae,Cellvibrionaceae,3.0,3.0
Flavobacteriaceae,Cellvibrionaceae,10.0,0.9090909090909091
Rhodobacteraceae,Cellvibrionaceae,0.0,0.0
Vibrionaceae,Cellvibrionaceae,4.0,0.5714285714285714
Psychromonadaceae,Cellvibrionaceae,7.0,3.5
Psychrobiaceae,Cellvibrionaceae,0.0,0.0
Alteromonadaceae,Cellvibrionaceae,46.0,3.2857142857142856
Oleiphilaceae,Cellvibrionaceae,1.0,0.3333333333333333
Halomonadaceae,Cellvibrionaceae,0.0,0.0
Nitrincolaceae,Cellvibrionaceae,0.0,0.0
Saccharospirillaceae,Cellvibrionaceae,0.0,0.0
Cellvibrionaceae,Cellvibrionaceae,0.0,0.0
