E3R18 -> acald 0.7692307692307692
E3R18 -> asp__L 0.6923076923076923
E3R18 -> glu__L 0.6153846153846154
E3R18 -> gly 0.3076923076923077
E3R18 -> h2s 0.846153846153846
E3R18 -> his__L 0.3076923076923077
E3R18 -> pyr 0.7692307692307692
E3R18 -> ser__D 0.5384615384615385
E3R18 -> glcn 0.07692307692307693
E3R18 -> ac 0.07692307692307693
E3R18 -> etoh 0.15384615384615385
E3R18 -> ala__D 0.23076923076923078
E3R18 -> glcur 0.15384615384615385
E3R18 -> co2 0.07692307692307693
E3R18 -> 5dglcn 0.07692307692307693
E3R18 <- ac 0.7692307692307692
E3R18 <- ala__D 0.38461538461538464
E3R18 <- etoh 0.5384615384615385
E3R18 <- lys__L 0.38461538461538464
E3R18 <- pro__L 0.9230769230769229
E3R18 <- thr__L 0.38461538461538464
E3R18 <- ala__L 0.23076923076923078
E3R18 <- arg__L 0.46153846153846156
E3R18 <- co2 0.46153846153846156
E3R18 <- glu__L 0.3076923076923077
E3R18 <- gly 0.46153846153846156
E3R18 <- h2s 0.07692307692307693
E3R18 <- ile__L 0.15384615384615385
E3R18 <- leu__L 0.3076923076923077
E3R18 <- val__L 0.3076923076923077
E3R18 <- 5dglcn 0.07692307692307693
E3R18 <- acald 0.15384615384615385
E3R18 <- asp__L 0.23076923076923078
E3R18 <- pyr 0.07692307692307693
E3R18 <- glcn 0.07692307692307693
E3R18 <- 3pg 1
